Leading.proteins.Positions.within.proteins;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04;log2 N2_d5_01;log2 N2_d5_02;log2  N2_d5_03;log2 N2_d5_04; -Log Student's T-test p-value N2_d15_N2_d5; Student's T-test q-value N2_d15_N2_d5; Student's T-test Difference N2_d15_N2_d5;Student's T-test Test statistic N2_d15_N2_d5;Sign p-val: 0.05 
G5ED33(542);16,7072;19,1966;20,1808;17,7618;23,8555;23,2074;23,9511;24,3365;3,27088;0,000534979;-5,376;-6,70142;+
G5ED33(562);21,3231;20,8525;18,3048;21,9144;21,9286;21,3864;20,4347;21,5976;0,374472;0,274351;-0,738168;-0,86119;
G5ED33(621);21,2258;21,3047;21,0456;20,6389;23,4835;24,2371;23,8393;24,4495;4,54393;0;-2,94864;-11,3108;+
G5ED33(524);20,7482;20,7905;20,7217;19,259;22,9099;24,0892;24,2362;23,2418;3,22175;0,000504854;-3,2394;-6,56166;+
G5ED33(755);20,492;19,8716;20,3491;18,6497;21,8965;20,3186;22,5549;23,1651;1,55701;0,0132361;-2,14317;-2,88893;+
G5ED33(537);20,7914;18,9471;21,5243;21,0692;21,1765;21,0658;21,4885;21,6995;0,632583;0,127099;-0,774602;-1,32616;
G5ED33(583);20,4227;18,3571;19,618;21,6177;20,9889;21,6704;22,3464;22,0644;1,25191;0,0270867;-1,76365;-2,36387;+
A0A061ACQ8(315);25,1233;24,8938;25,9115;24,5449;23,9196;24,8655;24,899;26,1364;0,112231;0,66774;0,16323;0,302794;
A0A061ACQ8(294);19,9121;20,2161;19,0178;19,4925;21,5992;20,809;20,9413;21,1447;2,47087;0,00181896;-1,46389;-4,68406;+
A0A061ACQ8(133);25,1325;25,2518;24,1717;25,8192;27,2762;26,8353;26,7459;27,5041;2,68148;0,00115686;-1,99659;-5,16615;+
A0A061ACQ8(135);25,1325;25,2518;24,1717;22,853;27,2762;26,8353;26,7459;27,5041;2,47422;0,00177778;-2,73812;-4,69149;+
A0A061ACR1(589);24,3332;24,2495;23,1299;24,264;24,8872;25,1844;24,1479;24,599;1,00724;0,0480696;-0,710483;-1,9552;+
A0A061AL01(989);20,5116;21,8091;20,3211;19,6159;21,2511;21,1867;18,9654;20,3907;0,05842;0,81298;0,115932;0,165298;
A0A061AL01(593);21,8251;21,7933;20,1921;20,2498;23,1739;22,0387;21,808;22,5403;1,33361;0,0224588;-1,37511;-2,50226;+
B3GWD8(179);21,2651;19,3165;19,4311;20,1715;21,5379;19,9172;21,2065;19,3403;0,273077;0,377701;-0,4544;-0,66086;
B3GWD8(187);19,4375;21,3968;19,2826;19,6967;21,8973;21,7259;21,2138;21,8058;1,80343;0,00801421;-1,70731;-3,33421;+
B3GWD8(196);21,2096;20,3949;19,5296;21,8822;21,6392;21,0082;21,3492;20,8212;0,360027;0,287067;-0,450367;-0,833482;
A0A061AD09(37);19,6149;20,0751;19,3603;19,5791;21,3986;21,2608;21,4654;21,2513;4,38158;0;-1,6867;-10,5988;+
Q3S1I9(88);17,6619;21,1208;20,0137;19,8695;21,2028;21,0694;20,5769;21,3834;0,955304;0,0530972;-1,39166;-1,86895;
