Leading.proteins.Positions.within.proteins;log2 eat2_d15_01;log2 eat2_d15_02;log2 eat2_d15_03;log2 eat2_d15_04;log2 N2_d15_01;log2 N2_d15_02;log2 N2_d15_03;log2 N2_d15_04; -Log Student's T-test p-value eat2_d15_N2_d15;Student's T-test q-value  eat2_d15_N2_d15; Student's T-test Difference  eat2_d15_N2_d15;Student's T-test Test statistic  eat2_d15_N2_d15;Sign p-val: 0.05 
G5ED33(542);21,5417;20,6052;21,8186;21,6586;16,7072;19,1966;20,1808;17,7618;1,95262;0,0110378;2,94441;3,61583;+
G5ED33(562);22,0936;20,9693;21,8315;21,582;21,3231;20,8525;18,3048;21,9144;0,576461;0,190448;1,0204;1,22872;
G5ED33(621);20,6689;19,8074;19,8263;21,4035;21,2258;21,3047;21,0456;20,6389;0,751121;0,123242;-0,627176;-1,52802;
G5ED33(524);21,3207;20,457;21,1569;20,8725;20,7482;20,7905;20,7217;19,259;0,655184;0,156358;0,571946;1,36501;
G5ED33(755);24,5316;23,0237;23,3382;24,1397;20,492;19,8716;20,3491;18,6497;3,43673;0,00228421;3,91772;7,19094;+
G5ED33(537);25,2037;21,9564;23,4921;21,3081;20,7914;18,9471;21,5243;21,0692;1,22725;0,0412368;2,40708;2,32235;+
G5ED33(583);20,5845;20,0789;20,1227;21,7398;20,4227;18,3571;19,618;21,6177;0,341352;0,346325;0,627605;0,79729;
A0A061ACQ8(315);21,4137;20,3753;20,2783;21,1525;25,1233;24,8938;25,9115;24,5449;4,39784;0,00189286;-4,31341;-10,6681;+
A0A061ACQ8(294);20,2449;20,6627;20,3218;21,4516;19,9121;20,2161;19,0178;19,4925;1,4284;0,0279441;1,01062;2,66467;+
A0A061ACQ8(133);26,0796;26,6214;27,3457;25,2603;25,1325;25,2518;24,1717;25,8192;1,16184;0,0476818;1,23302;2,21266;+
A0A061ACQ8(135);26,0796;24,4882;24,0322;24,5542;25,1325;25,2518;24,1717;22,853;0,249912;0,452332;0,43632;0,612871;
A0A061ACR1(589);24,6031;23,893;27,408;25,7024;24,3332;24,2495;23,1299;24,264;0,866135;0,0948304;1,40749;1,72065;
A0A061AL01(989);21,6271;21,5454;19,618;21,1324;20,5116;21,8091;20,3211;19,6159;0,261461;0,435833;0,416332;0,636916;
A0A061AL01(593);20,3374;20,0229;21,7904;21,6173;21,8251;21,7933;20,1921;20,2498;0,039647;0,879972;-0,0731006;-0,114269;
B3GWD8(179);21,9518;20,5953;21,7451;21,6637;21,2651;19,3165;19,4311;20,1715;1,42784;0,0279263;1,44295;2,66371;+
B3GWD8(187);21,5007;20,8678;21,3048;20,5311;19,4375;21,3968;19,2826;19,6967;1,06514;0,0605742;1,09771;2,05143;
B3GWD8(196);20,1236;20,5493;21,1031;20,9334;21,2096;20,3949;19,5296;21,8822;0,048529;0,855913;-0,0767531;-0,138635;
A0A061AD09(37);21,3746;20,6783;21,0299;20,5448;19,6149;20,0751;19,3603;19,5791;2,70371;0,00365789;1,24956;5,21891;+
Q3S1I9(88);22,0414;20,9049;19,5599;20,4587;17,6619;21,1208;20,0137;19,8695;0,565025;0,195945;1,07474;1,20868;
Q3S1I9(240);22,4755;21,0297;22,664;23,1742;21,5255;19,9551;20,3572;20,8448;1,57363;0,0213909;1,66522;2,91828;+
G5EDF9(7);21,7113;20,9051;21,5384;21,0025;16,5769;19,2307;21,0463;19,3424;1,25767;0,0384633;2,24023;2,37359;+
G5EDF9(13);20,9095;20,6514;21,4471;20,1895;23,341;21,9295;23,7218;24,5733;2,26751;0,0060519;-2,59205;-4,24645;+
G5EDF9(521);20,6047;20,1422;20,203;20,9822;19,909;20,7687;21,3029;18,8524;0,189203;0,543804;0,274773;0,482066;
A0A0K3AQS9(98);21,6466;21,084;20,5156;19,8864;20,8617;19,5611;17,9838;21,4556;0,423396;0,278991;0,817596;0,953342;
A0A0K3AQS9(58);20,922;19,9403;21,0624;21,5466;22,9261;21,746;22,1229;21,9687;1,68792;0,0171835;-1,3231;-3,12266;+
A0A0K3AQS9(173);25,4485;22,6639;24,3064;25,0223;25,3449;25,5837;26,722;24,2789;0,686028;0,145317;-1,12208;-1,41773;
A0A0K3AQS9(21);24,2264;23,5739;24,9054;23,2206;19,2675;19,9202;21,1537;19,4419;3,4204;0,00234097;4,03575;7,14146;+
A0A0K3AQS9(160);25,0452;23,174;22,6811;24,166;20,1862;20,9037;20,0813;19,2361;2,95461;0,00297106;3,66473;5,84079;+
A0A0K3AQS9(122);26,767;25,9117;25,99;26,6959;25,1908;23,3092;23,1749;26,0765;1,35597;0,0323998;1,9033;2,54038;+
A0A0K3AQS9(114);25,2813;24,0705;24,6979;22,9127;19,098;19,5447;18,8981;20,5491;3,54685;0,00151289;4,71811;7,53181;+
A0A0K3AQT4(28);23,3782;23,6285;24,0569;23,3793;20,4802;18,4788;21,3274;21,0578;2,5828;0,00376989;3,2747;4,9364;+
A0A0K3AQT4(76);22,6481;25,086;25,3506;24,9068;18,2384;20,1402;20,3167;19,8738;3,08619;0,00268336;4,8556;6,18783;+
A0A0K3AQT4(15);25,216;23,437;23,4736;22,1196;25,0909;25,2353;24,7327;23,3769;0,659045;0,154727;-1,0474;-1,37163;
A0A0K3AUF2(802);24,6902;23,4674;22,0641;23,1463;23,4842;24,3237;24,7313;27,0153;0,833296;0,102604;-1,54665;-1,66586;
A0A0K3ARB5(19);23,1416;22,6612;23,7309;23,5633;18,6965;17,5702;18,7603;19,4817;4,25449;0,00152518;4,64706;10,0701;+
A0A0K3ARB5(20);23,1416;24,762;25,0833;24,8576;21,1914;20,9461;20,577;20,3822;3,59059;0,00144681;3,68694;7,67086;+
A0A0K3ARB5(6);23,2863;21,656;20,6174;22,6982;19,7377;19,6367;19,8774;19,9885;2,04647;0,00942781;2,25436;3,79833;+
A0A0K3AS90(1163);23,6604;22,5202;22,852;22,2183;19,667;20,9756;19,7515;18,3044;2,60855;0,00369652;3,13811;4,99568;+
A0A0K3AWX1(391);19,8885;21,5349;21,2998;21,2814;26,2291;24,6718;23,6286;23,842;2,66883;0,00366365;-3,59168;-5,13631;+
